"Label (Grouping)","Alabama","Alaska","California","Colorado","Connecticut","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Nebraska","New Jersey","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","South Carolina","Tennessee","Texas","Utah","Virginia","Washington","West Virginia","Wisconsin","Puerto Rico"
"Total Housing Units--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Original","1,963,711","260,978","12,214,549","1,808,037","1,385,975","7,302,947","3,281,737","527,824","4,885,615","2,532,319","1,232,511","1,131,200","1,750,927","1,847,181","2,145,283","2,621,989","4,234,279","2,065,946","1,161,953","2,442,017","722,668","3,310,275","7,679,307","3,523,944","289,677","4,783,051","1,514,400","1,452,709","5,249,750","1,753,670","2,439,443","8,157,575","768,594","2,904,192","2,451,075","844,623","2,321,144","1,418,476"
"    Revised","1,963,834","260,963","12,214,550","1,808,358","1,385,997","7,303,108","3,281,866","527,825","4,885,744","2,532,327","1,232,530","1,131,395","1,751,118","1,847,174","2,145,290","2,621,993","4,234,252","2,065,952","1,161,952","2,442,003","722,669","3,310,274","7,679,307","3,522,330","289,678","4,783,066","1,514,399","1,452,724","5,249,751","1,753,586","2,439,435","8,157,557","768,603","2,904,432","2,451,081","844,626","2,321,157","1,418,474"
